record_id,transformer_id,reading_date,dissolved_gas_ppm,oil_temp_c
OIL-001506,TXR-0220,2023-08-18,34.898648331250826,63.63481550874493
OIL-000576,TXR-0084,2023-01-07,33.25681709757268,58.18675539290145
OIL-000756,TXR-0111,2023-08-25,82.0535379216048,54.4114787834056
OIL-001454,TXR-0212,2023-12-12,77.23431684616772,53.69669642132471
OIL-000490,TXR-0073,2023-01-22,99.33799108471581,69.26678111158827
OIL-001143,TXR-0166,2023-03-13,148.72941350962995,54.941615984809225
OIL-000106,TXR-0016,2023-06-18,154.25017335215495,61.157838437052774
OIL-001401,TXR-0204,2023-06-19,195.44160567977175,62.00993705169962
OIL-001416,TXR-0207,2023-09-13,147.5534992123457,49.14807448593331
OIL-001122,TXR-0163,2023-04-20,42.47770004656959,45.16701482190952
OIL-000222,TXR-0035,2023-07-21,90.20429919104758,50.54415373207533
OIL-000496,TXR-0074,2024-03-05,57.5483316291432,45.80190774433394
OIL-000723,TXR-0106,2023-03-28,134.3484265296761,55.698318594032976
OIL-000653,TXR-0096,2024-01-22,80.41647994062006,61.88615111232304
OIL-001346,TXR-0196,2023-10-18,82.81593561276084,51.587516084564584
OIL-001211,TXR-0176,2023-10-19,98.91126502241218,62.319706502933386
OIL-000888,TXR-0129,2024-06-09,51.50390694326484,45.16330850244415
OIL-000360,TXR-0056,2024-05-10,87.85614622383369,59.48964396000141
OIL-000870,TXR-0126,2023-05-11,45.3352289037296,64.49524889939683
OIL-001251,TXR-0182,2023-08-16,38.08036770543561,49.57764005331199
OIL-000132,TXR-0021,2023-08-05,90.73655569297114,59.991353065279554
OIL-000961,TXR-0138,2024-05-19,106.24857590097008,70.70593161598475
OIL-000291,TXR-0046,2023-03-08,78.27152070461148,50.26494401306594
OIL-001274,TXR-0186,2023-11-09,90.42534862953933,51.58085528340973
OIL-000449,TXR-0068,2023-10-13,130.85453010654888,35.88543401127927
OIL-000351,TXR-0055,2023-01-04,112.66123998837645,54.40127502358103
OIL-001001,TXR-0145,2024-06-14,23.30213754155722,50.66584108389743
OIL-001156,TXR-0168,2024-06-06,24.306069644372553,65.41770432868394
OIL-000202,TXR-0032,2023-07-15,82.73297240895518,58.11308224162658
OIL-001481,TXR-0215,2023-09-19,81.53113737820534,50.85822803016342
OIL-000548,TXR-0081,2023-04-30,126.45819140301275,60.53473115919771
OIL-000160,TXR-0026,2024-01-13,117.09260407680969,55.62042927463565
OIL-001214,TXR-0176,2023-03-16,115.86252638207546,61.3845845775248
OIL-001424,TXR-0208,2023-11-19,52.880047503069875,53.73837740752938
OIL-001003,TXR-0145,2024-04-12,0.0,44.80272782674062
OIL-000135,TXR-0022,2023-03-04,142.75637757096692,53.124992092098466
OIL-000450,TXR-0068,2024-04-14,128.34102161618102,39.782956676577776
OIL-000260,TXR-0041,2024-05-20,143.62761652413454,60.067949891939236
OIL-000507,TXR-0075,2024-06-13,81.0258846949866,51.24990126210843
OIL-001176,TXR-0171,2023-11-18,110.55774905161115,51.92303929442744
OIL-000559,TXR-0082,2023-09-25,69.60018974688971,48.31890135604608
OIL-001061,TXR-0155,2023-02-27,69.296307700258,44.8659276902563
OIL-000567,TXR-0083,2024-05-18,133.57793704774573,63.38611885180175
OIL-000914,TXR-0132,2023-05-07,139.60286549075911,63.1155498090685
OIL-001233,TXR-0178,2023-08-13,99.47553452341783,47.958718762923134
OIL-001564,TXR-0228,2024-04-30,51.31808076537776,49.37153569550819
OIL-000281,TXR-0045,2024-06-29,59.96607758911314,51.229424846765546
OIL-000276,TXR-0044,2023-02-10,75.92335786496949,50.744890725442154
OIL-000964,TXR-0139,2023-06-25,88.07295177765525,60.49494872604908
OIL-000399,TXR-0061,2023-07-11,41.500781122111405,59.793559824187554
OIL-000228,TXR-0036,2023-11-05,49.38129398101081,54.47256919146512
OIL-001092,TXR-0159,2024-04-15,105.13685967620634,50.08937226431738
OIL-000190,TXR-0030,2023-05-16,152.08535330506396,52.23208356502493
OIL-000549,TXR-0081,2023-02-23,102.68576210966415,55.75176469037408
OIL-000254,TXR-0041,2024-04-06,166.61871949365778,64.06943054846171
OIL-000267,TXR-0043,2023-03-15,98.04847240977978,45.61277472839821
OIL-001047,TXR-0153,2023-04-13,182.06342764174553,53.85115102392639
OIL-000912,TXR-0132,2023-01-25,126.60250259998963,65.60115728963909
OIL-000494,TXR-0074,2024-04-10,39.76555812476078,48.94520213597501
OIL-000578,TXR-0084,2024-03-29,12.639339278136218,61.055325805776455
OIL-000415,TXR-0063,2024-03-08,254.2302458994642,68.01689151317201
OIL-000897,TXR-0130,2023-04-21,71.19326969037097,65.37938681656095
OIL-000709,TXR-0104,2023-08-17,78.19491124969713,46.52260918393357
OIL-000428,TXR-0065,2023-05-13,53.00166413501017,39.015187977217565
OIL-000854,TXR-0124,2023-06-07,134.6965588515809,50.76427135747225
OIL-001587,TXR-0231,2023-01-02,68.65469328476387,52.62743144553861
OIL-000643,TXR-0095,2024-04-01,42.36188262983427,41.4974753246058
OIL-000285,TXR-0045,2023-10-06,40.64453476274906,51.90503827949259
OIL-001075,TXR-0157,2024-01-31,122.21750617185145,59.411110849079066
OIL-000545,TXR-0080,2023-06-08,106.607656593381,62.09032838748876
OIL-001512,TXR-0220,2023-02-05,52.63265231956561,55.47150435533336
OIL-000043,TXR-0006,2023-08-20,77.54219272733285,44.470233428768566
OIL-000985,TXR-0143,2024-05-25,58.75578160268206,54.8571214387275
OIL-001328,TXR-0194,2024-03-31,112.45115320371599,68.80044289854406
OIL-000204,TXR-0032,2023-11-30,60.09820034367486,52.92725083008565
OIL-001596,TXR-0232,2024-02-25,152.94579403548022,50.61514998360083
OIL-000455,TXR-0068,2023-12-08,121.06576297355996,37.50831031289263
OIL-000233,TXR-0037,2023-12-22,96.41492886602667,68.20991593582103
OIL-001531,TXR-0224,2023-04-04,62.18896153556268,38.76181731714296
OIL-000903,TXR-0131,2023-06-08,92.89573553043195,61.135798521173065
OIL-000945,TXR-0136,2023-08-11,184.6123454937843,35.248822242675125
OIL-001518,TXR-0221,2023-04-20,71.19436689733678,59.02794214829951
OIL-000149,TXR-0024,2023-03-23,56.4219305256993,57.063812923772026
OIL-001392,TXR-0203,2023-05-14,90.6702244484945,60.79893138371757
OIL-001151,TXR-0167,2024-03-27,103.96571603666854,59.70555966593557
OIL-001193,TXR-0174,2023-05-27,108.28821468927424,62.602813218113866
OIL-000303,TXR-0048,2024-01-03,12.829376298739028,58.03870717771962
OIL-001520,TXR-0222,2023-09-25,56.92107316148681,60.64755484266555
OIL-001527,TXR-0223,2024-05-15,103.59757616382764,53.87945605152346
OIL-000501,TXR-0074,2024-03-07,52.0459528434059,40.42194897856973
OIL-000257,TXR-0041,2023-10-13,148.02650692886655,55.35240431861615
OIL-001093,TXR-0159,2023-04-15,88.32324641974165,54.15816798454477
OIL-001256,TXR-0183,2024-02-09,76.72675984509677,61.58383721935225
OIL-000054,TXR-0009,2023-10-29,91.57383250570778,51.1114052144045
OIL-000448,TXR-0067,2023-06-24,42.514672085195514,67.25485949727134
OIL-000264,TXR-0042,2024-04-09,93.07854057319732,55.07151881926994
OIL-000379,TXR-0058,2023-02-13,67.49218477258621,49.052070011577484
OIL-001554,TXR-0227,2023-10-17,103.08815051844981,51.99487924761092
OIL-001577,TXR-0229,2023-04-12,34.032081757736066,55.79033284624329
OIL-000815,TXR-0119,2023-08-06,69.03731875939798,57.09141335425007
OIL-000409,TXR-0062,2023-10-28,31.6739424521236,65.15293071913408
